userId,productId,invoicenum,productName
82,19,8121036,"Asian Casuals  (White, White)"
82,172,8121036,Purple Crop top
82,144,8121036,black jeans with yellow crop top
59,65,58197413,couch
59,69,58197413,sofas
59,151,58197413,Vase table
59,154,58197413,Beautiful cushion chair
44,45,70337538,Pink Kurtha
44,37,70337538,Juniper Black Georgette Polka Print A-Line Kurta with Poly Crepe Lining
44,90,70337538,eraing 1
44,92,70337538,earing 3
41,19,87828405,"Asian Casuals  (White, White)"
41,82,87828405,jacket
41,81,87828405,jacket
41,79,87828405,blazzer
62,86,100231205,heels
62,97,100231205,earin10
62,137,100231205,Yellow grand gown
62,87,100231205,heels
92,15,106847886,The Wimpy Kid Do -It- Yourself Book
92,16,106847886,Thea Stilton and the Tropical Treasure 
5,34,117474286,Ghosts of The Silent Hills: Stories based on true hauntings
5,57,117474286,oscal 
5,121,117474286,The haunting
5,128,117474286,The devil doll
96,11,159687312,Acer ES 15 Pentium Quad Core
65,90,203756793,eraing 1
65,21,203756793,Blue Kurtha
65,83,203756793,flats
88,46,234168234,allen soley t shirt
88,20,234168234,Adidas MESSI 16.3 TF Football turf Shoes  (Blue)
88,38,234168234,Tshirt
88,19,234168234,"Asian Casuals  (White, White)"
87,171,234620466,Blue and pink crop top with white jeans
87,145,234620466,white jeans with black crop top
87,172,234620466,Purple Crop top
87,144,234620466,black jeans with yellow crop top
38,94,308872665,earin6
38,95,308872665,earin 7
38,96,308872665,earinss8
38,99,308872665,erin13
96,137,310037065,Yellow grand gown
13,28,326961641,Spigen F111 18 W Single Port Charger Adapter For Cellular Phones With Usb Cable - Black
13,110,326961641,boAt Bassheads 242 Wired Headset
13,113,326961641,"AHINOAM 35000 mAh Power Bank (10 W, Fast Charging)"
13,4,326961641,"Lenovo K6 Power (Silver, 32 GB) "
49,59,339775747,sofa purple comfy couch
49,18,339775747,Nilkamal Ursa Metal Queen Bed
49,61,339775747,wardrobe
78,76,375810880,indo western
78,78,375810880,frock
78,75,375810880,dress
10,159,387613060,HDMI Cable
10,157,387613060,Android TV Remote
10,1,387613060,"Micromax 81cm (32) HD Ready LED TV  (32T6175MHD, 2 x HDMI, 2 x USB)"
101,1,450500424,"Micromax 81cm (32) HD Ready LED TV  (32T6175MHD, 2 x HDMI, 2 x USB)"
34,90,483569286,eraing 1
34,21,483569286,Blue Kurtha
34,83,483569286,flats
34,37,483569286,Juniper Black Georgette Polka Print A-Line Kurta with Poly Crepe Lining
70,95,507583457,earin 7
70,99,507583457,erin13
70,92,507583457,earing 3
70,91,507583457,earin 2
27,18,518426162,Nilkamal Ursa Metal Queen Bed
27,59,518426162,sofa purple comfy couch
27,61,518426162,wardrobe
94,53,577868206,allen
94,52,577868206,gopal das
28,154,583483186,Beautiful cushion chair
28,58,583483186,center tables
28,64,583483186,sofa
28,60,583483186,table
76,140,593085242,Red grand gown
76,92,593085242,earing 3
76,90,593085242,eraing 1
48,61,602390192,wardrobe
48,17,602390192,Induscraft Solid Wood King Bed With Storage
48,59,602390192,sofa purple comfy couch
51,161,603052787,Red Color Chair
51,151,603052787,Vase table
51,33,603052787,"IKEA Little Loved Corner SANDSBERG/ADDE Dining Table and 4 Chairs, 4 Seater, Set of 4, Black 110x67 cm"
51,60,603052787,table
80,20,611257302,Adidas MESSI 16.3 TF Football turf Shoes  (Blue)
80,38,611257302,Tshirt
80,19,611257302,"Asian Casuals  (White, White)"
